Discharge Current (A),Discharge Capacity (mAh),Cell Voltage (V)
20,895.2564456,3.324218902
20,935.8375523,3.31412525
20,976.418659,3.303273347
20,1016.999766,3.293786294
20,1057.580873,3.283389342
20,1098.161979,3.274508889
20,1138.743086,3.265173486
20,1179.324193,3.255686433
20,1219.905299,3.24604773
20,1260.486406,3.237773877
20,1301.067513,3.227376924
20,1341.64862,3.218193171
20,1382.229726,3.208554469
20,1422.810833,3.199674016
20,1463.39194,3.190035313
20,1503.973047,3.18100321
20,1544.554153,3.171667807
20,1585.13526,3.162635704
20,1625.716367,3.152997001
20,1666.297474,3.143661598
20,1706.87858,3.135084445
20,1747.459687,3.125142442
20,1788.040794,3.116110339
20,1828.621901,3.107078236
20,1869.203007,3.097591184
20,1909.784114,3.088559081
20,1950.365221,3.079830277
20,1990.946327,3.070191575
20,2031.527434,3.060704522
20,2072.108541,3.050610869
20,2112.689648,3.040820516
20,2153.270754,3.029816964
20,2193.851861,3.019116712
20,2234.432968,3.007203259
20,2275.014075,2.995289807
20,2315.595181,2.981556556
20,2356.176288,2.966155155
20,2396.757395,2.949085604
20,2437.338502,2.929589655
20,2477.919608,2.907970606
20,2518.500715,2.884076808
20,2559.081822,2.85790826
20,2599.662929,2.829919913
20,2640.244035,2.798746917
20,2680.825142,2.763631023
20,2717.717057,2.727410733
20,2749.075185,2.691341014
20,2776.744122,2.655715896
20,2801.185015,2.619084716
20,2817.660609,2.584094992
20,2839.124996,2.547199224
20,2854.217143,2.521109186
25,9.850480386,3.586602738
25,13.53967191,3.536550549
25,15.64778135,3.495080716
25,39.36401256,3.462794737
25,79.9451193,3.442843837
25,120.526226,3.435934834
25,161.1073328,3.42826758
25,201.6884395,3.420903627
25,242.2695462,3.409900074
25,282.850653,3.399199822
25,323.4317597,3.38607317
25,364.0128665,3.372794868
25,404.5939732,3.358303367
25,445.1750799,3.344418466
25,485.7561867,3.330230264
25,526.3372934,3.315890413
25,566.9184001,3.302308812
25,607.4995069,3.28933381
25,648.0806136,3.276510458
25,688.6617203,3.264445356
25,729.2428271,3.252835204
25,769.8239338,3.242286601
25,810.4050406,3.232344599
25,850.9861473,3.222250946
25,891.567254,3.213522143
25,932.1483608,3.205854889
25,972.7294675,3.197732686
25,1013.310574,3.190065433
25,1053.891681,3.182549829
25,1094.472788,3.175034226
25,1135.053894,3.168428522
25,1175.635001,3.162429418
25,1216.216108,3.155520414
25,1256.797215,3.14967296
25,1297.378321,3.142915607
25,1337.959428,3.135703303
25,1378.540535,3.129097599
25,1419.121642,3.122340245
25,1459.702748,3.115431242
25,1500.283855,3.108067288
25,1540.864962,3.100703335
25,1581.446069,3.093642681
25,1622.027175,3.085672128
25,1662.608282,3.078611474
25,1703.189389,3.069882671
25,1743.770496,3.062063768
25,1784.351602,3.054396514
25,1824.932709,3.046274311
25,1865.513816,3.038303758
25,1906.094922,3.030181554
25,1946.676029,3.021907701
25,1987.257136,3.011965698
25,2027.838243,3.002781945
25,2068.419349,2.992536643
25,2109.000456,2.98229134
25,2149.581563,2.971287788
25,2190.16267,2.958919386
25,2230.743776,2.946550984
25,2271.324883,2.931604533
25,2311.90599,2.915141582
25,2352.487097,2.895797282
25,2393.068203,2.874936483
25,2433.64931,2.852559185
25,2474.230417,2.827755487
25,2514.811524,2.801283639
25,2555.39263,2.772537042
25,2595.973737,2.741970646
